"Nam","Quoc_gia_to_chuc","Ten_thi_sinh","Hoc_sinh_truong","Giai_thuong","Diem_so","Hang"
1989,"Bulgaria","Nguyễn Anh Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",65,15
1990,"Liên Xô","Trần Hoài Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",52,12
1990,"Liên Xô","Nguyễn Anh Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",41,22
1990,"Liên Xô","Nguyễn Việt Hà","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",37.5,28
1991,"Hy Lạp","Nguyễn Hòa Bình","Khối PT chuyên tin, Đại học Bách Khoa Hà Nội","HCĐ",56.5,36
1991,"Hy Lạp","Đàm Hiếu Chí","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",50.5,44
1992,"Đức","Nguyễn Tuấn Việt","Khối PT chuyên tin, Đại học Bách Khoa Hà Nội","HCV",100,1
1992,"Đức","Phạm Minh Tuấn","Khối PT chuyên tin, Đại học Bách Khoa Hà Nội","HCB",95,23
1992,"Đức","Hà Công Thành","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",84,51
1992,"Đức","Lê Văn Trí","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",84,51
1993,"Argentina","Lê Gia Quốc Thống","THPT Gia Định, Thành phố Hồ Chí Minh","HCĐ",70.5,58
1993,"Argentina","Phạm Việt Thắng","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",61.5,80
1994,"Thụy Điển","Trương Xuân Nam","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",53.5,34
1994,"Thụy Điển","Trần Minh Châu","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",53,35
1994,"Thụy Điển","Phạm Bảo Sơn","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",52.5,37
1994,"Thụy Điển","Cao Minh Trí","THPT chuyên Lê Hồng Phong, Nam Định","HCĐ",45.5,56
1995,"Hà Lan","Lê Sĩ Quang","THPT Lê Quý Đôn - Hà Đông, Hà Nội","HCB",65.5,40
1995,"Hà Lan","Phạm Bảo Sơn","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",60,55
1995,"Hà Lan","Lê Thụy Anh","Hệ PTTH chuyên Toán – Tin, Đại học Tổng Hợp TPHCM","HCĐ",51,81
1995,"Hà Lan","Bùi Thế Duy","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",49.5,88
1996,"Hungary","Phan Việt Hải","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCB",75.5,52
1996,"Hungary","Bùi Thế Duy","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",63.5,75
1996,"Hungary","Nguyễn Hoàng Dũng","THPT chuyên Lê Hồng Phong, TP.HCM","HCĐ",60.5,80
1996,"Hungary","Nguyễn Thúc Dương","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",58,84
1997,"Nam Phi","Vương Phan Tuấn","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",61,20
1998,"Bồ Đào Nha","Lê Sĩ Vinh","THPT chuyên ban Lê Quý Đôn, Hà Tây","HCV",94.2857142857143,16
1998,"Bồ Đào Nha","Trần Tuấn Anh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",68.5714285714286,63
1998,"Bồ Đào Nha","Lê Hồng Việt","THPT chuyên ban Lê Quý Đôn, Hà Tây","HCĐ",55.7142857142857,97
1999,"Thổ Nhĩ Kỳ","Nguyễn Ngọc Huy","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",71.6666666666667,5
1999,"Thổ Nhĩ Kỳ","Lê Hồng Việt","THPT Lê Quý Đôn - Hà Đông, Hà Nội","HCV",60.6666666666667,13
1999,"Thổ Nhĩ Kỳ","Nguyễn Trung Hiếu","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCV",56.6666666666667,20
1999,"Thổ Nhĩ Kỳ","Nguyễn Hồng Sơn","THPT chuyên Đại học Sư phạm Hà Nội","HCB",51.6666666666667,29
2000,"Trung Quốc","Nguyễn Ngọc Huy","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",85.7142857142857,13
2000,"Trung Quốc","Phạm Kim Cương","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",77.8571428571429,24
2000,"Trung Quốc","Nguyễn Phương Ngọc","THPT chuyên Trần Phú, Hải Phòng","HCB",64.2857142857143,48
2000,"Trung Quốc","Trần Thanh Hoài","THPT chuyên Hà Nội - Amsterdam","HCĐ",42.8571428571429,106
2001,"Phần Lan","Trần Thanh Hoài","THPT chuyên Hà Nội - Amsterdam","HCB",62.1666666666667,28
2001,"Phần Lan","Nguyễn Phương Ngọc","THPT chuyên Trần Phú, Hải Phòng","HCB",53.5,44
2001,"Phần Lan","Hoàng Đức Việt Dũng","THPT chuyên Hà Nội - Amsterdam","HCB",49.5,53
2001,"Phần Lan","Trần Quang Khải","THPT chuyên Đại học Sư phạm Hà Nội","HCB",49.3333333333333,55
2002,"Hàn Quốc","Trần Quang Khải","THPT chuyên Đại học Sư phạm Hà Nội","HCV",49.3333333333333,22
2002,"Hàn Quốc","Nguyễn Văn Hiếu","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",46.6666666666667,31
2002,"Hàn Quốc","Lâm Xuân Nhật","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCĐ",32,91
2002,"Hàn Quốc","Ngô Thành Sơn","THPT chuyên Trần Phú, Hải Phòng","Bằng khen",25.6,106
2003,"Mỹ","Nguyễn Lê Huy","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",70.7166666666667,4
2003,"Mỹ","Cao Thanh Tùng","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",50.75,44
2003,"Mỹ","Phạm Trần Đức","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",41.65,71
2003,"Mỹ","Đinh Ngọc Thắng","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",40.6833333333333,75
2004,"Hy Lạp","Phạm Xuân Hòa","THPT chuyên Lê Quý Đôn, Đà Nẵng","HCB",73.3333333333333,27
2004,"Hy Lạp","Phạm Hữu Thành","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCĐ",59.1666666666667,79
2004,"Hy Lạp","Nguyễn Duy Khương","THPT chuyên Trần Phú, Hải Phòng","HCĐ",55,95
2004,"Hy Lạp","Lê Mạnh Hà","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",53.3333333333333,102
2005,"Ba Lan","Nguyễn Bích Hoàng Anh","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCB",71.1666666666667,52
2005,"Ba Lan","Phạm Hải Minh","THPT chuyên Hà Nội - Amsterdam","HCĐ",57.1666666666667,95
2005,"Ba Lan","Đặng Hoàng Vũ","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCĐ",55,103
2005,"Ba Lan","Nguyễn Đức Dũng","THPT chuyên Trần Phú, Hải Phòng","HCĐ",52.8333333333333,111
2006,"México","Khúc Anh Tuấn","THPT chuyên Trần Phú, Hải Phòng","HCB",58.8333333333333,44
2006,"México","Nguyễn Trần Nam Khánh","THPT chuyên Hà Nội - Amsterdam","HCĐ",49,87
2006,"México","Đặng Thanh Tùng","THPT chuyên Nguyễn Huệ, Hà Tây","HCĐ",41.3333333333333,120
2006,"México","Trần Tuấn Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",39.8333333333333,127
2007,"Croatia","Đoàn Mạnh Hùng","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",60,33
2007,"Croatia","Ngô Minh Đức","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCĐ",41.6666666666667,96
2007,"Croatia","Lê Bảo Hoàng","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCĐ",40.5,106
2007,"Croatia","Nguyễn Hoành Tiến","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",40.1666666666667,110
2008,"Ai Cập","Nguyễn Phạm Khánh Nhân","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCB",41.1666666666667,59
2008,"Ai Cập","Nguyễn Bá Cảnh Sơn","THPT chuyên Lê Quý Đôn, Đà Nẵng","HCB",39.8333333333333,66
2008,"Ai Cập","Vũ Ngọc Quang","THPT chuyên Nguyễn Huệ, Hà Tây","HCĐ",32.5,96
2008,"Ai Cập","Nguyễn Thành Đạt","THPT chuyên Nguyễn Huệ, Hà Tây","HCĐ",25,122
2009,"Bulgaria","Nguyễn Thành An","THPT chuyên Hà Nội - Amsterdam","HCB",83.1666666666667,72
2009,"Bulgaria","Hoàng Ngọc Hưng","THPT chuyên Lam Sơn, Thanh Hóa","HCĐ",73.5,104
2009,"Bulgaria","Nguyễn Xuân Khánh","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCĐ",70.5,123
2009,"Bulgaria","Nguyễn Đức Liêm","THPT chuyên Lê Quý Đôn, Đà Nẵng","Bằng khen",56.4,119
2010,"Canada","Trần Đặng Tuấn Anh","THPT chuyên Lương Văn Tụy, Ninh Bình","HCĐ",73,110
2010,"Canada","Nguyễn Cảnh Toàn","THPT chuyên Phan Bội Châu, Nghệ An","Bằng khen",62.625,172
2010,"Canada","Thái Công Khanh","THPT Chuyên Nguyễn Huệ, Hà Tây","Bằng khen",55.125,194
2010,"Canada","Hồ Sỹ Việt Anh","THPT chuyên Phan Bội Châu, Nghệ An","Bằng khen",54.375,197
2011,"Thái Lan","Nguyễn Vương Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",81.3333333333333,23
2011,"Thái Lan","Nguyễn Tấn Sỹ Nguyên","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCB",66.8333333333333,59
2011,"Thái Lan","Lê Khắc Minh Tuệ","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",60.8333333333333,86
2011,"Thái Lan","Nguyễn Hoàng Yến","THPT chuyên Đại học Sư phạm Hà Nội","HCĐ",49.8333333333333,130
2012,"Ý","Nguyễn Việt Dũng","THPT chuyên Đại học Sư phạm Hà Nội","HCB",60.3333333333333,27
2012,"Ý","Vũ Đình Quang Đạt","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",50.5,43
2012,"Ý","Nguyễn Tuấn Anh","THPT chuyên Trần Phú, Hải Phòng","HCB",47.1666666666667,49
2012,"Ý","Nguyễn Hữu Thành","THPT chuyên Lê Quý Đôn, Đà Nẵng","HCĐ",38.6666666666667,82
2013,"Úc","Dương Thành Đạt","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",74.6666666666667,34
2013,"Úc","Nguyễn Tuấn Anh","THPT chuyên Trần Phú, Hải Phòng","HCB",70.3333333333333,50
2013,"Úc","Lê Xuân Mạnh","THPT chuyên Lam Sơn, Thanh Hóa","HCĐ",55.6666666666667,89
2013,"Úc","Bùi Đỗ Hiệp","THPT chuyên Trần Phú, Hải Phòng","HCĐ",48.3333333333333,111
2014,"Đài Loan","Nguyễn Quang Dũng","THPT chuyên Đại học Sư phạm Hà Nội","HCB",70.1666666666667,44
2014,"Đài Loan","Ngô Hoàng Anh Phúc","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",57.6666666666667,74
2014,"Đài Loan","Đỗ Xuân Việt","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",49.5,99
2014,"Đài Loan","Nguyễn Tiến Trung Kiên","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",49.1666666666667,109
2015,"Kazakhstan","Phạm Văn Hạnh","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",75.17,24
2015,"Kazakhstan","Phan Đức Nhật Minh","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",67.07,42
2015,"Kazakhstan","Nguyễn Việt Dũng","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",60.575,61
2015,"Kazakhstan","Nguyễn Tiến Trung Kiên","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",56.075,74
2016,"Nga","Phan Đức Nhật Minh","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",72,15
2016,"Nga","Phạm Cao Nguyên","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",69.3333333333333,26
2016,"Nga","Trần Tấn Phát","Phổ thông Năng khiếu, ĐHQG TPHCM","HCB",61.1666666666667,54
2016,"Nga","Lê Quang Tuấn","THPT chuyên Đại học Sư phạm Hà Nội","HCĐ",46,120
2017,"Tehran, Iran","Lê Quang Tuấn","THPT chuyên Đại học Sư phạm Hà Nội","HCV",58.8383333333333,26
2017,"Tehran, Iran","Nguyễn Hy Hoài Lâm","THPT Chuyên Quốc học Huế","HCĐ",41.03,81
2017,"Tehran, Iran","Phạm Cao Nguyên","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",40.7916666666667,82
2017,"Tehran, Iran","Nguyễn Diệp Xuân Quang","THPT chuyên Lí Tự Trọng, Cần Thơ","Bằng khen",18,188
2018,"Tsukuba, Nhật Bản","Phạm Đức Thắng","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",65,10
2018,"Tsukuba, Nhật Bản","Hoàng Xuân Nhật","Phổ thông Năng khiếu, ĐHQG TPHCM","HCB",54.1666666666667,37
2018,"Tsukuba, Nhật Bản","Nguyễn Hoàng Hải Minh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",37.5,131
2018,"Tsukuba, Nhật Bản","Nguyễn Khánh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",36,141
2019,"Baku, Azerbaijan","Trịnh Hữu Gia Phúc","THPT chuyên Lam Sơn, Thanh Hóa","HCV",72.2466666666667,19
2019,"Baku, Azerbaijan","Bùi Hồng Đức","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",70.2766666666667,24
2019,"Baku, Azerbaijan","Vũ Hoàng Kiên","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",58.6283333333333,63
2019,"Baku, Azerbaijan","Nguyễn Minh Tùng","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",53.49,91
2020,"Singapore","Bùi Hồng Đức","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",88.93,11
2020,"Singapore","Lê Quang Huy","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",75.7383333333333,39
2020,"Singapore","Vũ Hoàng Kiên","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",72.7733333333333,42
2020,"Singapore","Trần Quang Thành","THPT chuyên Đại học Sư phạm Hà Nội","HCĐ",47.11,136
2021,"Singapore","Hồ Ngọc Vĩnh Phát","THPT Chuyên Quốc học Huế","HCB",57,41
2021,"Singapore","Trương Văn Quốc Bảo","THPT chuyên Phan Bội Châu, Nghệ An","HCB",56.1666666666667,46
2021,"Singapore","Lê Quang Huy","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",51.8333333333333,67
2021,"Singapore","Nguyễn Hoàng Vũ","THPT chuyên Phan Bội Châu, Nghệ An","HCB",51.3333333333333,68
2022,"Indonesia","Trần Xuân Bách","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",69.3316666666667,30
2022,"Indonesia","Dương Minh Khôi","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",48.8333333333333,68
2022,"Indonesia","Lê Hữu Nghĩa","THPT chuyên Bình Long, Bình Phước","HCB",46.805,75
2022,"Indonesia","Trương Văn Quốc Bảo","THPT chuyên Phan Bội Châu, Nghệ An","HCB",46.65,77
2023,"Hungary","Nguyễn Ngọc Đăng Khoa","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",57.0833333333333,27
2023,"Hungary","Trần Xuân Bách","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",52.8333333333333,34
2023,"Hungary","Nguyễn Đức Thắng","THPT chuyên Hùng Vương, Phú Thọ","HCB",46,54
2023,"Hungary","Nguyễn Quang Minh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",32.3333333333333,127
2024,"Ai Cập","Phạm Công Minh","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",62.7,23
2024,"Ai Cập","Hoàng Xuân Bách","THPT chuyên KHTN, ĐHQG Hà Nội","HCV",62.4533333333333,24
2024,"Ai Cập","Nguyễn Hữu Tuấn","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",56.1616666666667,49
2024,"Ai Cập","Phạm Ngọc Trung","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",47.2,102
